old_name	name	reason
CopySoundNode_Unimplemented	CopySoundNode	Inferred from observed role and existing naming family; preserve code structure and ABI.
CopySwitchNode_Stub	CopySwitchNode	Inferred from observed role and existing naming family; preserve code structure and ABI.
DI_AcquireJoystickDevice	DIAcquireJoystickDevice	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
DI_AddJoystickRef	DIAddJoystickRef	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
DI_ApplyAxisConfig	DIApplyAxisConfig	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
DI_EnumDevicesCallback_SelectFirstJoystick	DIEnumDevicesCallbackSelectFirstJoystick	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
DI_GetAxisRange	DIGetAxisRange	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
DI_GetButtonTransitionState	DIGetButtonTransitionState	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
DI_GetCurrentState	DIGetCurrentState	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
DI_GetJoystickRefCount	DIGetJoystickRefCount	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
DI_InitJoystickDevice	DIInitJoystickDevice	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
DI_IsJoystickDeviceReady	DIIsJoystickDeviceReady	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
DI_PollJoystickState	DIPollJoystickState	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
DI_ReleaseJoystickRef	DIReleaseJoystickRef	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
DI_ReportError	DIReportError	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
DI_ResetTransitionState	DIResetTransitionState	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
DI_SetAxisDeadzone	DISetAxisDeadzone	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
DI_SetAxisRange	DISetAxisRange	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
DI_SetJoystickEnabled	DISetJoystickEnabled	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
DI_WaitForButtonPress	DIWaitForButtonPress	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
DefaultDispatchHook	HandleScrollDisable	Observed interpreter behavior/callers contradict prior placeholder; name corrected without changing implementation.
Dispatch_LockDisplayModeSurfaceState	DispatchLockDisplayModeSurfaceState	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Dispatch_UnlockDisplayModeSurfaceState	DispatchUnlockDisplayModeSurfaceState	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Dispatch_UnlockPrimarySurfaceState	DispatchUnlockPrimarySurfaceState	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Dispatch_UnlockSwSurfaceState	DispatchUnlockSwSurfaceState	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
DisplaySection_SetBitsPerPixel	DisplaySectionSetBitsPerPixel	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
DisplaySection_SetPosition	DisplaySectionSetPosition	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
DisplaySection_SetSize	DisplaySectionSetSize	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
DisplaySection_SetTargetDisplay	DisplaySectionSetTargetDisplay	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
EnumConnectionsCallback_AddServiceProviderInfo	EnumConnectionsCallbackAddServiceProviderInfo	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
EnumPlayerCallback_AddPlayerRecord	EnumPlayerCallbackAddPlayerRecord	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
EnumSessionCallback_AddSessionDescCache	EnumSessionCallbackAddSessionDescCache	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
FilterRegions_TryAppendNode	FilterRegionsTryAppendNode	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
FindNextByTypePrefix_Predicate	FindNextByTypePrefixPredicate	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
FogColor_SetRgb01Clamped	FogColorSetRgb01Clamped	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
FogTarget565_SetPackedColorAndRamp	FogTarget565SetPackedColorAndRamp	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
FxPass3_ApplyToCurrentSurface	FxPass3ApplyToCurrentSurface	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
FxPass3_CopySurfacePixelToScratchClipped	FxPass3CopySurfacePixelToScratchClipped	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
FxPass3_QueueElementLocal	FxPass3QueueElementLocal	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
FxPass3_QueuePrimitive	FxPass3QueuePrimitive	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
FxPass3_SetInputRectByIndex	FxPass3SetInputRectByIndex	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
FxPass3_SetPrimaryElementParamsLocal	FxPass3SetPrimaryElementParamsLocal	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
FxPass3_UpdateLocal	FxPass3UpdateLocal	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Fx_SetSurfaceState	FxSetSurfaceState	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
GetAcceptedHardwareRendererCount_Cached	GetAcceptedHardwareRendererCountCached	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
GetByIndex_Pure	GetByIndexPure	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
GlobalStringTable_ReleaseDynamicEntries	GlobalStringTableReleaseDynamicEntries	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
HandlePkt03_RemoveRemotePlayer	HandlePkt03RemoveRemotePlayer	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
HandlePkt06_PlayerStateSnapshot	HandlePkt06PlayerStateSnapshot	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
HandlePkt08_PlayerKillEvent	HandlePkt08PlayerKillEvent	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
HandlePkt09_PlayerScoreboardSnapshot	HandlePkt09PlayerScoreboardSnapshot	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
HandlePkt0A_RemoveRuntimeRelay	HandlePkt0ARemoveRuntimeRelay	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
HandlePkt0B_ChatMessage	HandlePkt0BChatMessage	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
HandlePkt0C_HudTimerStatusBits	HandlePkt0CHudTimerStatusBits	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
HandlePkt0D_HudTimerPanelState	HandlePkt0DHudTimerPanelState	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
HandlePkt0E_PlayerLapProgress	HandlePkt0EPlayerLapProgress	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
HandlePkt11_SpawnDelta	HandlePkt11SpawnDelta	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
HandlePkt12_AirdropSpawnChuteRelay	HandlePkt12AirdropSpawnChuteRelay	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
HandlePkt13_EffectAnimActivationRecord	HandlePkt13EffectAnimActivationRecord	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
HandlePkt14_HudTimerAndFlagsSync	HandlePkt14HudTimerAndFlagsSync	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
HitCallback_RecordContextAndTimedStatus	HitCallbackRecordContextAndTimedStatus	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
HitCallback_RecordNetContextAndTimedStatus	HitCallbackRecordNetContextAndTimedStatus	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
HostSendPkt0F_CraterFeature	HostSendPkt0FCraterFeature	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
HostSendPkt10_QSandFeature	HostSendPkt10QSandFeature	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
HudUiControlsDialog_ResumeWidget	CHudUiControlsDialogResumeWidget	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiMainMenuDialog_ControlsButton	CHudUiMainMenuDialogControlsButton	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiMainMenuDialog_CreditsButton	CHudUiMainMenuDialogCreditsButton	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiMainMenuDialog_LoadButton	CHudUiMainMenuDialogLoadButton	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiMainMenuDialog_NewGameButton	CHudUiMainMenuDialogNewGameButton	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiMainMenuDialog_OptionsButton	CHudUiMainMenuDialogOptionsButton	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiMainMenuDialog_QuitButton	CHudUiMainMenuDialogQuitButton	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiMainMenuDialog_SaveButton	CHudUiMainMenuDialogSaveButton	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiMgrObjective_DrawSensorNoise	HudUiMgrObjectiveDrawSensorNoise	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
HudUiMgrObjective_SetSlidePosition	HudUiMgrObjectiveSetSlidePosition	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
HudUiMgrObjective_UpdateHwDirtyRectIfNeeded	HudUiMgrObjectiveUpdateHwDirtyRectIfNeeded	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
HudUiMgrObjective_UpdateWidgetRightX	HudUiMgrObjectiveUpdateWidgetRightX	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
HudUiMpExitDialog_ExitButton	CHudUiMpExitDialogExitButton	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiMpExitDialog_NewGameButton	CHudUiMpExitDialogNewGameButton	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiNetExitPanel_ResumeWidget	CHudUiNetExitPanelResumeWidget	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiNetGameSetupPanel_GameNameInput	CHudUiNetGameSetupPanelGameNameInput	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiNetGameSetupPanel_KillsInput	CHudUiNetGameSetupPanelKillsInput	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiNetGameSetupPanel_MaxPlayersInput	CHudUiNetGameSetupPanelMaxPlayersInput	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiNetGameSetupPanel_TimeLimitInput	CHudUiNetGameSetupPanelTimeLimitInput	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiOptionsPanel_Effects	CHudUiOptionsPanelEffects	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiOptionsPanel_FullHud	CHudUiOptionsPanelFullHud	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiOptionsPanel_Lighting	CHudUiOptionsPanelLighting	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiOptionsPanel_MusicEnable	CHudUiOptionsPanelMusicEnable	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiOptionsPanel_MusicVolume	CHudUiOptionsPanelMusicVolume	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiOptionsPanel_ObjectDetail	CHudUiOptionsPanelObjectDetail	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiOptionsPanel_Perspective	CHudUiOptionsPanelPerspective	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiOptionsPanel_Resolution	CHudUiOptionsPanelResolution	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiOptionsPanel_SoundActive	CHudUiOptionsPanelSoundActive	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiOptionsPanel_SoundQuality	CHudUiOptionsPanelSoundQuality	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiOptionsPanel_SoundVolume	CHudUiOptionsPanelSoundVolume	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiOptionsPanel_TextureMemory	CHudUiOptionsPanelTextureMemory	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiZrdWidgetEx17C	CHudRadioGroupWidget	Inferred from observed role and existing naming family; preserve code structure and ABI.
HudUiZrdWidgetEx17C_Item	CHudRadioButtonWidget	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
Image_EnsureSurfaceForCurrentDevice	ImageEnsureSurfaceForCurrentDevice	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Image_LazyCreateBackingSurface	ImageLazyCreateBackingSurface	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Image_LazyCreateVideoMemorySurface	ImageLazyCreateVideoMemorySurface	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Image_PopulateSurfaceFromHeapPixels	ImagePopulateSurfaceFromHeapPixels	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Image_ReleaseSurface	ImageReleaseSurface	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Image_UploadPixelsToSurface	ImageUploadPixelsToSurface	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
InitFromWaveData_A3D	InitFromWaveDataA3D	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
InitFromWaveData_DirectSound	InitFromWaveDataDirectSound	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Init_ApplyModeIndex	InitApplyModeIndex	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Init_SetSurfaceGeometryFromModeIndex	InitSetSurfaceGeometryFromModeIndex	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Joystick_IsUnsuspended	JoystickIsUnsuspended	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Joystick_ResumeFromSuspend	JoystickResumeFromSuspend	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Joystick_ShutdownDevice	JoystickShutdownDevice	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Joystick_Suspend	JoystickSuspend	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Keyboard_AddRef	KeyboardAddRef	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Keyboard_ClearKeyCallbackTable	KeyboardClearKeyCallbackTable	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Keyboard_GetKeyTransitionState	KeyboardGetKeyTransitionState	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Keyboard_InitDevice	KeyboardInitDevice	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Keyboard_InitDikToAsciiTable	KeyboardInitDikToAsciiTable	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Keyboard_PollState	KeyboardPollState	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Keyboard_RegisterKeyCallback	KeyboardRegisterKeyCallback	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Keyboard_ResetTransitionState	KeyboardResetTransitionState	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Keyboard_ResumeFromSuspend	KeyboardResumeFromSuspend	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Keyboard_SetRawEventCallback	KeyboardSetRawEventCallback	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Keyboard_ShutdownDevice	KeyboardShutdownDevice	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Keyboard_Suspend	KeyboardSuspend	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Keyboard_TranslateDikToAscii	KeyboardTranslateDikToAscii	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Keyboard_UnregisterKeyCallback	KeyboardUnregisterKeyCallback	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Keyboard_WaitForAnyKeyPress	KeyboardWaitForAnyKeyPress	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
LensFlare_DrawQueuedSample16_ClippedFramebuffer	LensFlareDrawQueuedSample16ClippedFramebuffer	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
LensFlare_DrawQueuedSamplesScaled16_ClippedFramebuffer	LensFlareDrawQueuedSamplesScaled16ClippedFramebuffer	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
LensFlare_ResetSampleQueue	LensFlareResetSampleQueue	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
LockSurface_WaitRestore	LockSurfaceWaitRestore	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
MeasureCpuMhz_CmosRtc	MeasureCpuMhzCmosRtc	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
MeasureCpuMhz_RdtscQpc	MeasureCpuMhzRdtscQpc	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
MeasureMhzViaBsfLoop_Qpc	MeasureMhzViaBsfLoopQpc	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Mines_ZAR_ReadEntryOrReset	MinesZARReadEntryOrReset	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Mouse_AddRef	MouseAddRef	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Mouse_ApplyAccumulatedDelta	MouseApplyAccumulatedDelta	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Mouse_ApplyClientCursorPosToOS	MouseApplyClientCursorPosToOS	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Mouse_GetButtonTransitionState	MouseGetButtonTransitionState	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Mouse_GetStateSnapshot	MouseGetStateSnapshot	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Mouse_GetStateSnapshotPtr	MouseGetStateSnapshotPtr	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Mouse_InitDevice	MouseInitDevice	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
Mouse_IsInitialized	MouseIsInitialized	Inferred family spelling: retain behavior and subsystem words, remove unevidenced separator underscores.
