old_name	name	source	shape	disposition	confidence	reason
NetSessionBrowserDialog	NetSessionBrowserDialog	src/Battlesport/game_net.h:26	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
NetSessionConfigDialog	NetSessionConfigDialog	src/Battlesport/game_net.h:123	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
PlayerModalState	PlayerModalState	src/Battlesport/game_net.h:220	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
GameNetPlayerSaveState	GameNetPlayerSaveState	src/Battlesport/game_net.h:348	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
GameNetPlayerRow	GameNetPlayerRow	src/Battlesport/game_net.h:354	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
GameNetPlayerRowListState	GameNetPlayerRowListState	src/Battlesport/game_net.h:373	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
GameNetSpawnPoint	GameNetSpawnPoint	src/Battlesport/game_net.h:380	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
GameNetSpawnPointListState	GameNetSpawnPointListState	src/Battlesport/game_net.h:386	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudTimerPanelNetState	HudTimerPanelNetState	src/Battlesport/game_net.h:393	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
NetPkt0C_HudTimerStatusBits	NetPkt0C_HudTimerStatusBits	src/Battlesport/game_net.h:410	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
NetPkt0D_HudTimerPanelState	NetPkt0D_HudTimerPanelState	src/Battlesport/game_net.h:418	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
NetPkt06_PlayerStateSnapshot	NetPkt06_PlayerStateSnapshot	src/Battlesport/game_net.h:425	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
NetPkt0A_RemoveRuntimeRelay	NetPkt0A_RemoveRuntimeRelay	src/Battlesport/game_net.h:439	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
NetPkt07_AltGunDispatch	NetPkt07_AltGunDispatch	src/Battlesport/game_net.h:447	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
NetPkt0E_PlayerLapProgress	NetPkt0E_PlayerLapProgress	src/Battlesport/game_net.h:455	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
NetPkt10_QSandEvent	NetPkt10_QSandEvent	src/Battlesport/game_net.h:462	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
NetPkt0F_CraterEvent	NetPkt0F_CraterEvent	src/Battlesport/game_net.h:470	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
NetPkt0B_ChatMessage	NetPkt0B_ChatMessage	src/Battlesport/game_net.h:478	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
NetPkt08_PlayerKillEvent	NetPkt08_PlayerKillEvent	src/Battlesport/game_net.h:484	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
NetPkt09_PlayerScoreboardEntry	NetPkt09_PlayerScoreboardEntry	src/Battlesport/game_net.h:491	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
NetPkt09_PlayerScoreboardSnapshot	NetPkt09_PlayerScoreboardSnapshot	src/Battlesport/game_net.h:497	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
NetPkt14_HudTimerAndFlagsSync	NetPkt14_HudTimerAndFlagsSync	src/Battlesport/game_net.h:503	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
MfcThreeFloatCDialogMessageMapAccessor	MfcThreeFloatCDialogMessageMapAccessor	src/Battlesport/hud.cpp:1561	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
MfcThreeFloatDialog	MfcThreeFloatDialog	src/Battlesport/hud.cpp:1570	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zOpt_NameInt32Pair	zOpt_NameInt32Pair	src/Battlesport/hud.cpp:2821	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudReticleAttachStatePartial	HudReticleAttachStatePartial	src/Battlesport/hud.cpp:9798; src/GameZRecoil/zUI/zui_widgets.cpp:54	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudReticleAltGunControllerPartial	HudReticleAltGunControllerPartial	src/Battlesport/hud.cpp:9803; src/GameZRecoil/zUI/zui_widgets.cpp:59	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudReticlePlayerStatePartial	HudReticlePlayerStatePartial	src/Battlesport/hud.cpp:9809; src/GameZRecoil/zUI/zui_widgets.cpp:65	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudWeatherFxPointBatch	HudWeatherFxPointBatch	src/Battlesport/hud.h:53	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiSaveLoadEntry	HudUiSaveLoadEntry	src/Battlesport/hud.h:65	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiSaveLoadListItem	HudUiSaveLoadListItem	src/Battlesport/hud.h:88	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiSaveLoadDeleteButton	HudUiSaveLoadDeleteButton	src/Battlesport/hud.h:115	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiSaveLoadNextButton	HudUiSaveLoadNextButton	src/Battlesport/hud.h:119	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiSaveLoadPrevButton	HudUiSaveLoadPrevButton	src/Battlesport/hud.h:123	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiSaveGamePrimaryActionButton	HudUiSaveGamePrimaryActionButton	src/Battlesport/hud.h:127	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiLoadGamePrimaryActionButton	HudUiLoadGamePrimaryActionButton	src/Battlesport/hud.h:131	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiConfirmQuitOkButton	HudUiConfirmQuitOkButton	src/Battlesport/hud.h:135	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiConfirmQuitCancelButton	HudUiConfirmQuitCancelButton	src/Battlesport/hud.h:139	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiBackgroundConfirmQuit	HudUiBackgroundConfirmQuit	src/Battlesport/hud.h:151	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiSaveLoadGameNameInput	HudUiSaveLoadGameNameInput	src/Battlesport/hud.h:172	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiSaveLoadDialog	HudUiSaveLoadDialog	src/Battlesport/hud.h:194	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiSaveGameDialog	HudUiSaveGameDialog	src/Battlesport/hud.h:294	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiLoadGameDialog	HudUiLoadGameDialog	src/Battlesport/hud.h:309	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudWeatherFxParticleQuad	HudWeatherFxParticleQuad	src/Battlesport/hud.h:324	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudWeatherFxCameraTargetHistory	HudWeatherFxCameraTargetHistory	src/Battlesport/hud.h:355	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudWeatherFx	HudWeatherFx	src/Battlesport/hud.h:375	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudWeatherFxSnow	HudWeatherFxSnow	src/Battlesport/hud.h:430	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudWeatherFxRain	HudWeatherFxRain	src/Battlesport/hud.h:453	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
RecoilStateSaveLoadTransition	RecoilStateSaveLoadTransition	src/Battlesport/hud.h:475	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiNewGamePanel_StartButton	HudUiNewGamePanel_StartButton	src/Battlesport/hud.h:540	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiNewGamePanel_NameInput	HudUiNewGamePanel_NameInput	src/Battlesport/hud.h:545	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiNewGamePanel_Intensity	HudUiNewGamePanel_Intensity	src/Battlesport/hud.h:553	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiNewGamePanel	HudUiNewGamePanel	src/Battlesport/hud.h:556	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiNewGamePanelOverlayOwner	HudUiNewGamePanelOverlayOwner	src/Battlesport/hud.h:604	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiOptionsPanelOverlayOwner	HudUiOptionsPanelOverlayOwner	src/Battlesport/hud.h:619	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
RecoilStateConfirmQuit	RecoilStateConfirmQuit	src/Battlesport/hud.h:647	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
RecoilStateControls	RecoilStateControls	src/Battlesport/hud.h:676	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiControlsDialog_ResumeWidget	CHudUiControlsDialogResumeWidget	src/Battlesport/hud.h:701	class/interface	renamed	Same-engine default / inferred	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiControlsDialog_CommandsWidget	HudUiControlsDialog_CommandsWidget	src/Battlesport/hud.h:713	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiControlsDialog_OptionSelector	HudUiControlsDialog_OptionSelector	src/Battlesport/hud.h:718	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiControlsDialog	HudUiControlsDialog	src/Battlesport/hud.h:729	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiCheatCodeTitleWidget	HudUiCheatCodeTitleWidget	src/Battlesport/hud.h:785	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiCheatTextInputWidget	HudUiCheatTextInputWidget	src/Battlesport/hud.h:794	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiCheatCodeDialog	HudUiCheatCodeDialog	src/Battlesport/hud.h:806	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
RecoilStateCheatCode	RecoilStateCheatCode	src/Battlesport/hud.h:843	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudSensorMapPoint	HudSensorMapPoint	src/Battlesport/hud_sensor_tracker.h:21	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudSensorMapBounds	HudSensorMapBounds	src/Battlesport/hud_sensor_tracker.h:27	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudRectI	HudRectI	src/Battlesport/hud_sensor_tracker.h:36	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudSensorMapNode	HudSensorMapNode	src/Battlesport/hud_sensor_tracker.h:55	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudSensorObjectiveSlot	HudSensorObjectiveSlot	src/Battlesport/hud_sensor_tracker.h:82	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudSensorPendingPlayerSave	HudSensorPendingPlayerSave	src/Battlesport/hud_sensor_tracker.h:97	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudSensorTracker	HudSensorTracker	src/Battlesport/hud_sensor_tracker.h:103	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiMpExitDialog_NewGameButton	CHudUiMpExitDialogNewGameButton	src/Battlesport/hud_ui_mp_exit_dialog.h:13	class/interface	renamed	Same-engine default / inferred	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiMpExitDialog_ExitButton	CHudUiMpExitDialogExitButton	src/Battlesport/hud_ui_mp_exit_dialog.h:34	class/interface	renamed	Same-engine default / inferred	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiMpExitDialog	HudUiMpExitDialog	src/Battlesport/hud_ui_mp_exit_dialog.h:53	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiNetExitPanel_ExitButton	HudUiNetExitPanel_ExitButton	src/Battlesport/hud_ui_net_exit_panel.h:11	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiNetExitPanel_ResumeWidget	CHudUiNetExitPanelResumeWidget	src/Battlesport/hud_ui_net_exit_panel.h:24	class/interface	renamed	Same-engine default / inferred	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiNetExitPanel	HudUiNetExitPanel	src/Battlesport/hud_ui_net_exit_panel.h:39	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiNetGameSetupPanel_LaunchButton	HudUiNetGameSetupPanel_LaunchButton	src/Battlesport/hud_ui_net_game_setup.h:9	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiNetGameSetupPanel_CancelButton	HudUiNetGameSetupPanel_CancelButton	src/Battlesport/hud_ui_net_game_setup.h:14	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiNetGameSetupPanel_NextWorldButton	HudUiNetGameSetupPanel_NextWorldButton	src/Battlesport/hud_ui_net_game_setup.h:19	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiNetGameSetupPanel_PrevWorldButton	HudUiNetGameSetupPanel_PrevWorldButton	src/Battlesport/hud_ui_net_game_setup.h:24	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiNetGameSetupPanel_WorldSelector	HudUiNetGameSetupPanel_WorldSelector	src/Battlesport/hud_ui_net_game_setup.h:29	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiNetGameSetupPanel_GameNameInput	CHudUiNetGameSetupPanelGameNameInput	src/Battlesport/hud_ui_net_game_setup.h:38	class/interface	renamed	Same-engine default / inferred	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiNetGameSetupPanel_TimeLimitInput	CHudUiNetGameSetupPanelTimeLimitInput	src/Battlesport/hud_ui_net_game_setup.h:44	class/interface	renamed	Same-engine default / inferred	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiNetGameSetupPanel_KillsInput	CHudUiNetGameSetupPanelKillsInput	src/Battlesport/hud_ui_net_game_setup.h:51	class/interface	renamed	Same-engine default / inferred	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiNetGameSetupPanel_MaxPlayersInput	CHudUiNetGameSetupPanelMaxPlayersInput	src/Battlesport/hud_ui_net_game_setup.h:58	class/interface	renamed	Same-engine default / inferred	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiNetGameSetupPanel_IncTimeLimitButton	HudUiNetGameSetupPanel_IncTimeLimitButton	src/Battlesport/hud_ui_net_game_setup.h:65	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiNetGameSetupPanel_DecTimeLimitButton	HudUiNetGameSetupPanel_DecTimeLimitButton	src/Battlesport/hud_ui_net_game_setup.h:69	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiNetGameSetupPanel_IncKillsButton	HudUiNetGameSetupPanel_IncKillsButton	src/Battlesport/hud_ui_net_game_setup.h:73	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiNetGameSetupPanel_DecKillsButton	HudUiNetGameSetupPanel_DecKillsButton	src/Battlesport/hud_ui_net_game_setup.h:77	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiNetGameSetupPanel_IncMaxPlayersButton	HudUiNetGameSetupPanel_IncMaxPlayersButton	src/Battlesport/hud_ui_net_game_setup.h:81	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiNetGameSetupPanel_DecMaxPlayersButton	HudUiNetGameSetupPanel_DecMaxPlayersButton	src/Battlesport/hud_ui_net_game_setup.h:85	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiNetGameSetupPanel_AllowMapsToggle	HudUiNetGameSetupPanel_AllowMapsToggle	src/Battlesport/hud_ui_net_game_setup.h:89	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiNetGameSetupPanel_NameTagsToggle	HudUiNetGameSetupPanel_NameTagsToggle	src/Battlesport/hud_ui_net_game_setup.h:93	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiNetGameSetupPanel	HudUiNetGameSetupPanel	src/Battlesport/hud_ui_net_game_setup.h:97	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
tm	tm	src/Battlesport/Mfc42Abi.h:12	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
tagLVBKIMAGEA	tagLVBKIMAGEA	src/Battlesport/Mfc42Abi.h:50	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
tagTBBUTTONINFOA	tagTBBUTTONINFOA	src/Battlesport/Mfc42Abi.h:63	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
tagTBINSERTMARK	tagTBINSERTMARK	src/Battlesport/Mfc42Abi.h:80	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
