physical_id	logical_id	name	object_symbol	disposition	reason
recoil:function:0x408f50	recoil:logical-function:0x408f50:recoil-state-main-menu-transition-on-suspend	RecoilStateMainMenuTransition::OnSuspend	?OnSuspend@RecoilStateMainMenuTransition@@UAEXH@Z	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x413eb0	recoil:logical-function:0x413eb0:huduiwidget_shutdown	HudUiWidget::Shutdown	?Shutdown@HudUiWidget@@QAEXXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x415aa0	recoil:logical-function:0x415aa0:zfmv-action-blur-destructor	zFMV_ActionBlur::~zFMV_ActionBlur	??1zFMV_ActionBlur@@UAE@XZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x415aa0	recoil:logical-function:0x415aa0:zfmv-action-destructor	zFMV_Action::~zFMV_Action	??1zFMV_Action@@UAE@XZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x42df90	recoil:logical-function:0x42df90:leave-network-state-destructor	RecoilApp_LeaveNetworkState::~RecoilApp_LeaveNetworkState	??1RecoilApp_LeaveNetworkState@@UAE@XZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x42df90	recoil:logical-function:0x42df90:main-menu-prep-state-destructor	RecoilApp_MainMenuPrepState::~RecoilApp_MainMenuPrepState	??1RecoilApp_MainMenuPrepState@@UAE@XZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x42ee40	recoil:logical-function:0x42ee40:hud-ui-background-container-set-enabled	HudUiBackgroundContainer::SetEnabled	?SetEnabled@HudUiBackgroundContainer@@UAEXH@Z	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x42ee40	recoil:logical-function:0x42ee40:mission-fmv-state-set-mission-id	RecoilApp_MissionFmvState::SetMissionId	?SetMissionId@RecoilApp_MissionFmvState@@QAEXH@Z	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x442770	recoil:logical-function:0x442770:westwood-online-upgrade-api-event-sink-add-ref	WestwoodOnlineUpgradeApiEventSink::AddRef	?AddRef@WestwoodOnlineUpgradeApiEventSink@@UAGKXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x442770	recoil:logical-function:0x442770:westwood-online-upgrade-download-event-sink-add-ref	WestwoodOnlineUpgradeDownloadEventSink::AddRef	?AddRef@WestwoodOnlineUpgradeDownloadEventSink@@UAGKXZ	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x44db00	recoil:logical-function:0x44db00:zclass-camera-delete-node	zClass_Camera::DeleteNode	?DeleteNode@zClass_Camera@@YIHPAUzClass_NodePartial@@@Z	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x44db00	recoil:logical-function:0x44db00:zclass-display-delete-node	zClass_Display::DeleteNode	?DeleteNode@zClass_Display@@YIHPAUzClass_NodePartial@@@Z	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x44db00	recoil:logical-function:0x44db00:zclass-lod-delete-node	zClass_Lod::DeleteNode	?DeleteNode@zClass_Lod@@YIHPAUzClass_NodePartial@@@Z	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x44db00	recoil:logical-function:0x44db00:zclass-object3d-delete-node	zClass_Object3D::DeleteNode	?DeleteNode@zClass_Object3D@@YIHPAUzClass_NodePartial@@@Z	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x44db00	recoil:logical-function:0x44db00:zclass-sequence-delete-node	zClass_Sequence::DeleteNode	?DeleteNode@zClass_Sequence@@YIHPAUzClass_NodePartial@@@Z	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x44db00	recoil:logical-function:0x44db00:zclass-switch-delete-node	zClass_Switch::DeleteNode	?DeleteNode@zClass_Switch@@YIHPAUzClass_NodePartial@@@Z	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
recoil:function:0x44db00	recoil:logical-function:0x44db00:zclass-window-delete-node	zClass_Window::DeleteNode	?DeleteNode@zClass_Window@@YIHPAUzClass_NodePartial@@@Z	retained	Existing folded logical identity and source spelling preserved; historical original_name_status does not establish exact retail spelling in this naming audit.
