source	old_name	name	disposition	confidence	reason
src/Battlesport/Briefing.cpp:53	BriefingActionShowElement	BriefingActionShowElement	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:68	BriefingActionFadeInElement	BriefingActionFadeInElement	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:85	BriefingActionSetPanelText	BriefingActionSetPanelText	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:107	BriefingActionSetWidgetImageTimed	BriefingActionSetWidgetImageTimed	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:131	BriefingActionPlaySample	BriefingActionPlaySample	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:154	BriefingActionDelayUntilProgress	BriefingActionDelayUntilProgress	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:298	Briefing_ActionQueue::Briefing_ActionQueue	CBriefingActionQueue::CBriefingActionQueue	renamed	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:308	HudUiBriefingObjectivePicture::HudUiBriefingObjectivePicture	HudUiBriefingObjectivePicture::HudUiBriefingObjectivePicture	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:323	HudUiBriefingObjectivePicture::Draw	HudUiBriefingObjectivePicture::Draw	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:349	HudUiBriefingRuntime::HudUiBriefingRuntime	HudUiBriefingRuntime::HudUiBriefingRuntime	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:431	HudUiBriefingLocatorPanel::HudUiBriefingLocatorPanel	HudUiBriefingLocatorPanel::HudUiBriefingLocatorPanel	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:454	HudUiBriefingLocatorPanel::Draw	HudUiBriefingLocatorPanel::Draw	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:466	HudUiBriefingLocatorPanel::DrawBase	HudUiBriefingLocatorPanel::DrawBase	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:486	HudUiBriefingLocatorPanel::Update	HudUiBriefingLocatorPanel::Update	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:532	HudUiBriefingRuntime::~HudUiBriefingRuntime	HudUiBriefingRuntime::~HudUiBriefingRuntime	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:545	HudUiBriefingRuntime::UpdateAll	HudUiBriefingRuntime::UpdateAll	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:582	zInput_WaitForAnyKeyPressWithTimeoutMs	zInputWaitForAnyKeyPressWithTimeoutMs	renamed	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:612	StartForMission	StartForMission	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:650	ThreadMain	ThreadMain	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:714	HudUiBriefingRuntime::BuildObjectiveActionsFromIndex	HudUiBriefingRuntime::BuildObjectiveActionsFromIndex	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:784	Briefing_ActionQueue::AddHideElement	CBriefingActionQueue::AddHideElement	renamed	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:799	BriefingActionHideElement::Tick	BriefingActionHideElement::Tick	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:813	Briefing_ActionQueue::AddShowElement	CBriefingActionQueue::AddShowElement	renamed	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:828	BriefingActionShowElement::Tick	BriefingActionShowElement::Tick	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:843	Briefing_ActionQueue::AddFadeInElement	CBriefingActionQueue::AddFadeInElement	renamed	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:858	BriefingActionFadeInElement::Tick	BriefingActionFadeInElement::Tick	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:876	Briefing_ActionQueue::AddSetPanelText	CBriefingActionQueue::AddSetPanelText	renamed	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:893	BriefingActionSetPanelText::Tick	BriefingActionSetPanelText::Tick	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:910	Briefing_ActionQueue::AddSetWidgetImageTimed	CBriefingActionQueue::AddSetWidgetImageTimed	renamed	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:927	BriefingActionSetWidgetImageTimed::Tick	BriefingActionSetWidgetImageTimed::Tick	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:949	Briefing_ActionQueue::AddPlaySampleByName	CBriefingActionQueue::AddPlaySampleByName	renamed	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:966	BriefingActionPlaySample::Tick	BriefingActionPlaySample::Tick	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:1001	SampleEventCallback	SampleEventCallback	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:1016	Briefing_ActionQueue::AddDelayUntilProgress	CBriefingActionQueue::AddDelayUntilProgress	renamed	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:1032	BriefingActionDelayUntilProgress::Tick	BriefingActionDelayUntilProgress::Tick	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:1047	StopAndShutdownThread	StopAndShutdownThread	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:1093	SetProgressAndSleep	SetProgressAndSleep	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.cpp:1111	BuildObjectiveActionsGlobal	BuildObjectiveActionsGlobal	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/Briefing.h:86	SetNoiseAlpha	SetNoiseAlpha	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/CZRecoilFrame.h:91	OnUpdateNoOpCmdUI	OnUpdateNoOpCmdUI	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/game_net.h:43	~NetSessionBrowserDialog	~NetSessionBrowserDialog	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/game_net.h:141	~NetSessionConfigDialog	~NetSessionConfigDialog	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:187	HudUiElement::Draw	HudUiElement::Draw	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:199	HudUiElement::DrawBase	HudUiElement::DrawBase	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:219	HudUiElement::SetPos	HudUiElement::SetPos	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:236	HudUiElement::SetX	HudUiElement::SetX	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:251	HudUiElement::SetY	HudUiElement::SetY	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:266	HudUiElement::HitTestTrue	HudUiElement::HitTestTrue	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:283	HudUiElement::SetVisible	HudUiElement::SetVisible	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:303	HudUiElement::GetCenterX	HudUiElement::GetCenterX	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:315	HudUiElement::GetCenterY	HudUiElement::GetCenterY	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:327	HudUiWidget::GetCenterX	HudUiWidget::GetCenterX	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:344	HudUiWidget::GetCenterY	HudUiWidget::GetCenterY	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:359	HudUiWidget::RebuildBltRectFromImage	HudUiWidget::RebuildBltRectFromImage	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:383	HudUiCircle::HitTest	HudUiCircle::HitTest	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:395	ReportOld	ReportOld	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:428	TickActiveCameraState	TickActiveCameraState	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:502	UpdateChaseCameraFromInput	UpdateChaseCameraFromInput	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:707	UpdateThirdPersonCamera	UpdateThirdPersonCamera	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:763	UpdateTopDownCameraState	UpdateTopDownCameraState	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:790	UpdateCameraFromStoredTargetTowardPlayer	UpdateCameraFromStoredTargetTowardPlayer	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:831	UpdateFirstPersonCameraFromInput	UpdateFirstPersonCameraFromInput	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:921	ApplyCameraState	ApplyCameraState	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:1034	ToggleSteeringModeAndResetMouseLook	ToggleSteeringModeAndResetMouseLook	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
src/Battlesport/hud.cpp:1046	AdjustThirdPersonCameraByOffsetProbes	AdjustThirdPersonCameraByOffsetProbes	retained	Inferred unless corroborated in physical-functions.tsv	Preserve callable role/signature and existing scope; inline helpers and provider-facing wrappers are inventoried without claiming separate retail bodies.
