# path address token reason
src/Battlesport/ai_net.h 0x401180 __asm ainet-vector user-approved AINET_VECTOR_SUBTRACT shared grouped-x87 helper plus address-local AINET_PATH_DOT_XZ and AINET_PATH_CROSS_XZ only; the generic subtraction macro has no standalone retail function and its identical fixed-register body is observed at 0x401180, 0x401580, 0x401710, 0x401c60, 0x402090, 0x402170, 0x402be0, 0x402d60, and 0x403620; minimal source-faithful helper snippets after C++ variants failed; 0x401710 differential review confirmed the shared subtract is the only assembly island required there and the ordinary C++ shell naturally emits its exact 608-byte body/table/padding contribution; no raw EBP offsets, naked code, _emit, .asm files, provider shims, linker/order dependence, or unrelated AINet functions.
src/Battlesport/ai_net.h 0x401420 __asm source-faithful-inline-asm ChatGPT-Pro-confirmed AINet forward-probe final vector-add helper; normal C++ emits surrounding normalize/scale/contact/tail code and VC5 byte evidence requires only this fixed-register x87 add macro.
src/GameZRecoil/zSys/zsys_cpu_asm.inl 0x4b3020 _emit cpu-probe CPUID opcode emission for MMX feature probe; documented zSys CPU probing exception.
src/GameZRecoil/zSys/zsys_cpu_asm.inl 0x4b2fe0 __asm cpu-probe Runtime CPUID ID-flag probe; documented zSys CPU probing exception.
src/GameZRecoil/zSys/zsys_cpu_asm.inl 0x4b3050 __asm cpu-probe CPUID signature-mask probe; documented zSys CPU probing exception.
src/GameZRecoil/zSys/zsys_cpu_asm.inl 0x4b3050 _emit cpu-probe CPUID opcode emission for signature-mask probe; documented zSys CPU probing exception.
src/GameZRecoil/zSys/zsys_cpu_asm.inl 0x4b33f0 __asm cpu-probe CPUID ID-flag probe; documented zSys CPU probing exception.
src/GameZRecoil/zSys/zsys_cpu_asm.inl 0x4b3480 __asm cpu-probe CPUID feature/vendor probe; documented zSys CPU probing exception.
src/GameZRecoil/zSys/zsys_cpu_asm.inl 0x4b3480 _emit cpu-probe CPUID opcode emission for feature/vendor probe; documented zSys CPU probing exception.
src/GameZRecoil/zSys/zsys_cpu_asm.inl 0x4b3510 __asm cpu-probe CPU DIV flag probe; documented zSys CPU probing exception.
src/GameZRecoil/zSys/zsys_cpu_asm.inl 0x4b3550 __asm cpu-probe 8086 FLAGS high-bit probe; documented zSys CPU probing exception.
src/GameZRecoil/zSys/zsys_cpu_asm.inl 0x4b35a0 __asm cpu-probe 80286 FLAGS high-bit probe; documented zSys CPU probing exception.
src/GameZRecoil/zSys/zsys_cpu_asm.inl 0x4b35f0 __asm cpu-probe 80386 AC-flag probe; documented zSys CPU probing exception.
src/GameZRecoil/zSys/zsys_cpu_asm.inl 0x4b3640 __asm cpu-probe CPUID vendor/family probe; documented zSys CPU probing exception.
src/GameZRecoil/zSys/zsys_cpu_asm.inl 0x4b3640 _emit cpu-probe CPUID/vendor byte-shape opcode emission; documented zSys CPU probing exception.
src/GameZRecoil/zSys/zsys_cpu_asm.inl 0x4b3b00 __asm cpu-probe CMOS RTC seconds read for CPU timing benchmark; documented zSys CPU timing exception.
src/GameZRecoil/zSys/zsys_cpu_asm.inl 0x4b3b20 __asm cpu-probe RDTSC counter read; documented zSys CPU timing exception.
src/GameZRecoil/zSys/zsys_cpu_asm.inl 0x4b3b20 _emit cpu-probe RDTSC opcode emission; documented zSys CPU timing exception.
src/GameZRecoil/zSys/zsys_cpu_asm.inl 0x4b3ca0 __asm cpu-probe Split 64-bit CPU timing subtraction helper; documented zSys CPU timing exception.
src/GameZRecoil/zSys/zsys_cpu_asm.inl 0x4b3ca0 _emit cpu-probe Split 64-bit CPU timing subtraction byte-shape helper; documented zSys CPU timing exception.
src/GameZRecoil/zRender/zrndr_draw.c 0x48d510 __asm render-mmx user-approved zRndr RGB555 overlay MMX row exception; retail uses authored movq/pand/psrlw/pmullw/paddw/emms loop and VC5SP3 has no usable MMX intrinsic surface.
src/GameZRecoil/zRender/zrndr_draw.c 0x48d5f0 __asm render-mmx user-approved zRndr RGB565 overlay MMX row exception; retail uses authored movq/pand/psrlw/pmullw/paddw/emms loop and VC5SP3 has no usable MMX intrinsic surface.
src/GameZRecoil/zRender/zrndr_draw.c 0x49b7e0 __asm render-esp-pivot user-approved zRndr ESP-pivot span exception; parent C++ profile sweep stayed at 779 mismatches and BN proves real ESP pivot stack writes.
src/GameZRecoil/zRender/zrndr_draw.c 0x49bbf0 __asm render-esp-pivot user-approved zRndr ESP-pivot span exception; scoped only to this ESP-pivot span family after the 0x49b7e0 C++ route failed.
src/GameZRecoil/zRender/zrndr_draw.c 0x49e6c0 __asm render-esp-pivot user-approved zRndr ESP-pivot span exception; scoped only to this ESP-pivot span family after the 0x49b7e0 C++ route failed.
src/GameZRecoil/zRender/zrndr_draw.c 0x49edc0 __asm render-esp-pivot user-approved zRndr ESP-pivot span exception; scoped only to this ESP-pivot span family after the 0x49b7e0 C++ route failed.
src/GameZRecoil/zRender/zrndr_draw.c 0x49f180 __asm render-esp-pivot user-approved zRndr ESP-pivot span exception; scoped only to this ESP-pivot span family after the 0x49b7e0 C++ route failed.
src/GameZRecoil/zRender/zrndr_draw.c 0x49ea80 __asm render-mmx user-approved zRndr span MMX-block exception; retail uses authored MMX packed-index loops and VC5SP3 has no usable MMX intrinsic surface.
src/GameZRecoil/zRender/zrndr_draw.c 0x49ec20 __asm render-mmx user-approved zRndr span MMX-block exception; retail uses authored MMX packed-index loops and VC5SP3 has no usable MMX intrinsic surface.
src/GameZRecoil/zRender/zrndr_draw.c 0x49e400 __asm render-mmx user-approved zRndr span MMX-block exception; retail uses authored MMX fog qword channel math and VC5SP3 has no usable MMX intrinsic surface.
src/GameZRecoil/zRender/zrndr_draw.c 0x49e560 __asm render-mmx user-approved zRndr span MMX-block exception; retail uses authored MMX fog qword channel math and VC5SP3 has no usable MMX intrinsic surface.
src/GameZRecoil/zRender/zrndr_draw.c 0x49cbb0 __asm render-mmx user-approved zRndr span MMX-block exception; retail uses authored MMX alpha-map span loops and VC5SP3 has no usable MMX intrinsic surface.
src/GameZRecoil/zRender/zrndr_draw.c 0x49cea0 __asm render-mmx user-approved zRndr span MMX-block exception; retail uses authored MMX alpha-map span loops and VC5SP3 has no usable MMX intrinsic surface.
src/GameZRecoil/zRender/zrndr_draw.c 0x49da80 __asm render-mmx user-approved zRndr span MMX-block exception; retail uses authored MMX alpha-map span loops and VC5SP3 has no usable MMX intrinsic surface.
src/GameZRecoil/zRender/zrndr_draw.c 0x49ddb0 __asm render-mmx user-approved zRndr span MMX-block exception; retail uses authored MMX alpha-map span loops and VC5SP3 has no usable MMX intrinsic surface.
